37.16902,36.3415,-10,-10
36.60332,46.60324,19.70979,-10
58.25418,58.25418,37.28247,-10
72.81773,72.81773,36.60334,-10
58.25418,91.02216,58.25418,-10
46.60334,72.81773,72.81773,-10
37.28267,58.25418,58.25418,-10
-10,46.60334,46.60334,-10
46.60276,46.56644,-10,19.65329
58.25417,58.25418,37.28149,37.28256
72.81773,72.81773,46.60333,36.60334
91.02216,91.02216,58.25418,58.25418
72.81773,113.7777,72.81773,72.81773
58.25418,91.02216,91.02216,58.25418
46.60334,72.81773,72.81773,46.60334
-10,58.25418,58.25418,37.28267
58.25414,58.25404,-10,37.28112
72.81773,62.81773,46.60328,46.60334
91.02216,91.02216,58.25418,58.25418
113.7777,103.7777,72.81773,72.81773
91.02216,142.2221,91.02216,91.02216
72.81773,113.7777,113.7777,72.81773
58.25418,81.02216,91.02216,58.25418
-10,72.81773,72.81773,46.60334
62.81773,72.81773,-10,46.60318
91.02216,91.02216,58.25418,58.25418
103.7777,113.7777,62.81773,72.81773
142.2221,132.2221,91.02216,91.02216
113.7777,177.7777,103.7777,113.7777
81.02216,142.2221,142.2221,91.02216
72.81773,113.7777,113.7777,72.81773
-10,91.02216,81.02216,58.25418
91.02216,81.02216,-10,58.25418
113.7777,113.7777,72.81773,62.81773
132.2221,142.2221,91.02216,91.02216
177.7777,177.7777,113.7777,103.7777
142.2221,222.2221,132.2221,142.2221
113.7777,177.7777,177.7777,113.7777
91.02216,142.2221,142.2221,81.02216
-10,113.7777,113.7777,72.81773
113.7777,113.7777,-10,72.81773
142.2221,142.2221,81.02216,91.02216
177.7777,177.7777,113.7777,113.7777
222.2221,222.2221,142.2221,132.2221
177.7777,277.7776,177.7777,177.7777
142.2221,222.2221,222.2221,142.2221
113.7777,177.7777,177.7777,113.7777
-10,142.2221,142.2221,91.02216
142.2221,91.02216,-10,81.02216
177.7777,113.7777,113.7777,113.7777
222.2221,142.2221,142.2221,142.2221
277.7776,177.7777,177.7777,177.7777
222.2221,222.2221,222.2221,222.2221
177.7777,177.7777,277.7776,177.7777
142.2221,142.2221,222.2221,142.2221
-10,113.7777,177.7777,113.7777
113.7777,72.81773,-10,113.7777
142.2221,91.02216,91.02216,142.2221
177.7777,113.7777,113.7777,177.7777
222.2221,142.2221,142.2221,222.2221
177.7777,177.7777,177.7777,277.7776
142.2221,142.2221,222.2221,222.2221
113.7777,113.7777,177.7777,177.7777
-10,91.02216,142.2221,142.2221
91.02216,58.25418,-10,91.02216
113.7777,72.81773,72.81773,113.7777
142.2221,91.02216,91.02216,142.2221
177.7777,113.7777,113.7777,177.7777
142.2221,142.2221,142.2221,222.2221
113.7777,113.7777,177.7777,177.7777
91.02216,91.02216,142.2221,142.2221
-10,72.81773,113.7777,113.7777
72.81773,46.60334,-10,72.81773
91.02216,58.25418,58.25418,91.02216
113.7777,72.81773,72.81773,113.7777
142.2221,81.02216,91.02216,142.2221
113.7777,113.7777,113.7777,177.7777
91.02216,91.02216,142.2221,142.2221
72.81773,72.81773,113.7777,113.7777
-10,58.25418,91.02216,91.02216
58.25418,37.28267,-10,58.25418
72.81773,36.60334,46.60334,72.81773
81.02216,58.25418,58.25418,91.02216
113.7777,72.81773,72.81773,113.7777
91.02216,91.02216,81.02216,142.2221
72.81773,62.81773,113.7777,113.7777
58.25418,58.25418,91.02216,91.02216
-10,46.60334,72.81773,72.81773
36.60334,29.82613,-10,46.60334
58.25418,37.28267,37.28267,58.25418
72.81773,46.60334,36.60334,72.81773
91.02216,58.25418,58.25418,81.02216
62.81773,72.81773,72.81773,113.7777
58.25418,58.25418,91.02216,91.02216
46.60334,46.60334,62.81773,72.81773
-10,37.28267,58.25418,58.25418
37.28267,23.8609,-10,37.28267
46.60334,29.82613,29.82613,36.60334
58.25418,37.28267,37.28267,58.25418
72.81773,46.60334,46.60334,72.81773
58.25418,58.25418,58.25418,91.02216
46.60334,46.60334,72.81773,62.81773
37.28267,37.28267,58.25418,58.25418
-10,29.82613,46.60334,46.60334
29.82613,-10,-10,29.82613
37.28267,-10,23.8609,37.28267
46.60334,-10,29.82613,46.60334
58.25418,-10,37.28267,58.25418
46.60334,-10,46.60334,72.81773
37.28267,-10,58.25418,58.25418
29.82613,-10,46.60334,46.60334
-10,-10,37.28267,37.28267
